,precision,recall,f1-score,support
0,0.9336026194191989,1.0,0.9656613101813313,152546.0
1,1.0,9.216589861751152e-05,0.000184314809694959,10850.0
accuracy,0.9336030257778648,0.9336030257778648,0.9336030257778648,0.9336030257778648
macro avg,0.9668013097095994,0.5000460829493087,0.4829228124955131,163396.0
weighted avg,0.9380116109447056,0.9336030257778648,0.9015506501909871,163396.0
