,Silhouette,Calinski-Harabasz,Davies-Bouldin,N_Clusters,Noise_Pct
UMAP + HDBSCAN,0.6581000089645386,577174.5,0.4681,52.0,0.52
PCA + K-Means,0.41,111238.47,0.7905,6.0,0.0
