covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
hour,0.0005840844691975982,1.0005842550797466,0.00161399256103923,-0.0025792828217548573,0.0037474517601500537,0.9974240406701599,1.0037544822368785,0.0,0.36188795617590297,0.7174357604135544,0.4790784370110858
weapon_present,0.7311374962286077,2.077442347019554,0.03658062906947298,0.6594407807206217,0.8028342117365936,1.9337106637007846,2.231857529776709,0.0,19.987012657438186,7.14472248092438e-89,292.8147224704869
Vict Age,-0.0100571365515029,0.989993267331872,0.0005509667507846677,-0.011137011539719905,-0.008977261563285896,0.9889247753866738,0.9910629137380215,0.0,-18.253617912841158,1.936495150317484e-74,244.86923113332293
is_violent,0.04142094623518935,1.04229076158576,0.0319407252294757,-0.02118172485467288,0.10402361732505158,0.9790410323132765,1.1096266610196612,0.0,1.2968066923215966,0.1946977074606399,2.3606921982695144
is_property,-1.1781175304363436,0.30785772626645597,0.03344337815547554,-1.2436653471424293,-1.112569713730258,0.28832546585506696,0.3287131760660833,0.0,-35.227228689618954,7.659217528386099e-272,900.6272447965306
is_vehicle,0.185815241954252,1.2041997542300804,0.2687059384162485,-0.3408387197736328,0.7124692036821368,0.7111735971963703,2.039019803047305,0.0,0.6915189260402882,0.489239491228621,1.031387232518023
is_night,-0.03868257765274938,0.9620560387705932,0.02352995319894818,-0.08480043848060084,0.0074352831751020865,0.91869560239952,1.0074629935285828,0.0,-1.6439717208820688,0.10018204387593238,3.3193041445634917
