antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
crime_VIOLENT,"victim_Young_Adult, has_weapon",0.24984,0.086525,0.07003,0.2802993916106308,3.239519117141066,1.0,0.04841259399999999,1.269243056559702,0.9215530140946769,0.2629395310417331,0.21212883944347766,0.5448304239185774
"victim_Young_Adult, has_weapon",crime_VIOLENT,0.086525,0.24984,0.07003,0.809361456226524,3.239519117141066,1.0,0.04841259399999999,3.934985995756287,0.756793791897165,0.2629395310417331,0.7458694894776102,0.5448304239185774
"premis_OUTDOOR, has_weapon",crime_VIOLENT,0.132155,0.24984,0.105755,0.8002345730392343,3.202988204607886,1.0,0.0727373948,3.7552043484848494,0.7925280950029324,0.38283738777874315,0.7337029074320603,0.6117627396095947
crime_VIOLENT,"premis_OUTDOOR, has_weapon",0.24984,0.132155,0.105755,0.4232909061799552,3.202988204607886,1.0,0.0727373948,1.504822811534858,0.9168597960539351,0.38283738777874315,0.335469935506865,0.6117627396095947
"time_Night, has_weapon",crime_VIOLENT,0.102745,0.24984,0.080495,0.7834444498515742,3.135784701615331,1.0,0.0548251892,3.4640534471910103,0.7590936303659436,0.2958396118931235,0.7113208513538102,0.5528153245095206
crime_VIOLENT,"time_Night, has_weapon",0.24984,0.102745,0.080495,0.32218619916746716,3.135784701615331,1.0,0.0548251892,1.3237484968555315,0.9079403798043014,0.2958396118931235,0.24456949157983757,0.5528153245095206
"weekend, has_weapon",crime_VIOLENT,0.1031,0.24984,0.079835,0.774345295829292,3.0993647767743036,1.0,0.054076496,3.3243712013754574,0.7552160118850324,0.2923234653338459,0.6991912336425455,0.5469449021573614
crime_VIOLENT,"weekend, has_weapon",0.24984,0.1031,0.079835,0.3195445084854307,3.0993647767743036,1.0,0.054076496,1.3180876797741243,0.902945026473933,0.2923234653338459,0.24132512931812988,0.5469449021573614
"victim_Adult, has_weapon",crime_VIOLENT,0.128765,0.24984,0.09926,0.7708616471867356,3.0854212583522878,1.0,0.0670893524,3.273829940688019,0.7757897101194393,0.35533122124970923,0.6945473594789585,0.5840779577592339
crime_VIOLENT,"victim_Adult, has_weapon",0.24984,0.128765,0.09926,0.3972942683317323,3.0854212583522878,1.0,0.0670893524,1.4455395962279187,0.9010013171802145,0.35533122124970923,0.30821680526118933,0.5840779577592339
"crime_VIOLENT, time_Afternoon",has_weapon,0.06309,0.330715,0.06308,0.9998414962751625,3.0232722926845246,1.0,0.04221519065,4222.519065000901,0.7142976082341183,0.19073248166906043,0.9997631745447194,0.5952898726103146
has_weapon,"crime_VIOLENT, time_Afternoon",0.330715,0.06309,0.06308,0.19073824894546665,3.0232722926845246,1.0,0.04221519065,1.157734192650438,0.9999216658533028,0.19073248166906043,0.1362438750205107,0.5952898726103146
has_weapon,"crime_VIOLENT, premis_OUTDOOR",0.330715,0.1058,0.105755,0.3197768471342395,3.0224654738585963,1.0,0.070765353,1.3145686033072548,0.9997897410913767,0.31973334139557386,0.23929417035812958,0.6596757581606925
"crime_VIOLENT, premis_OUTDOOR",has_weapon,0.1058,0.330715,0.105755,0.9995746691871455,3.022465473858596,1.0,0.070765353,1573.5633999999645,0.7483161226418498,0.31973334139557386,0.9993644997081147,0.6596757581606925
has_weapon,"crime_VIOLENT, victim_Adult",0.330715,0.099305,0.09926,0.30013758069637003,3.0223813573976135,1.0,0.06641834692500001,1.2869600869499471,0.9997759829651274,0.30009674688595966,0.2229751255379124,0.6498422156540609
"crime_VIOLENT, victim_Adult",has_weapon,0.099305,0.330715,0.09926,0.9995468506117516,3.0223813573976135,1.0,0.06641834692500001,1476.963264999876,0.7429097183384112,0.30009674688595966,0.9993229350900612,0.6498422156540609
has_weapon,"time_Morning, crime_VIOLENT",0.330715,0.0512,0.051175,0.1547404865216274,3.0222751273755346,1.0,0.034242391999999996,1.1224954997495886,0.9997586068405637,0.15472878998609177,0.10912783149412668,0.5771261026358137
"time_Morning, crime_VIOLENT",has_weapon,0.0512,0.330715,0.051175,0.9995117187499999,3.0222751273755346,1.0,0.034242391999999996,1370.6956799996883,0.7052312807538857,0.15472878998609177,0.9992704434583173,0.5771261026358137
crime_VIOLENT,has_weapon,0.24984,0.330715,0.24968,0.9993595901376882,3.0218151282454326,1.0,0.1670541644,1045.0885275000621,0.8919071546484053,0.754605213449188,0.9990431432613732,0.8771649408892634
has_weapon,crime_VIOLENT,0.330715,0.24984,0.24968,0.7549702916408388,3.021815128245432,1.0,0.1670541644,3.061506317023509,0.9996833503381187,0.754605213449188,0.6733634046614575,0.8771649408892634
has_weapon,"weekend, crime_VIOLENT",0.330715,0.079895,0.079835,0.24140120647687588,3.0214807744774506,1.0,0.05341252507500001,1.212900689871652,0.9996286352121007,0.24135741818456657,0.17553019109435977,0.6203251104040929
"weekend, crime_VIOLENT",has_weapon,0.079895,0.330715,0.079835,0.99924901433131,3.0214807744774506,1.0,0.05341252507500001,891.2087512501498,0.7271305460984681,0.24135741818456657,0.9988779284330441,0.6203251104040929
"time_Evening, crime_VIOLENT",has_weapon,0.054975,0.330715,0.05493,0.999181446111869,3.0212764649679302,1.0,0.036748942874999996,817.6431749999559,0.7079326686386385,0.1660720764300399,0.998776972607886,0.5826380598867404
has_weapon,"time_Evening, crime_VIOLENT",0.330715,0.054975,0.05493,0.16609467366161196,3.02127646496793,1.0,0.036748942874999996,1.1332521452399515,0.9995951951414259,0.1660720764300399,0.11758384557192875,0.5826380598867404
has_weapon,"crime_VIOLENT, victim_Young_Adult",0.330715,0.070095,0.07003,0.21175332234703598,3.020947604637078,1.0,0.04684853207499999,1.179713186700424,0.999541359891064,0.2117117117117117,0.15233633795606644,0.6054130047072935
"crime_VIOLENT, victim_Young_Adult",has_weapon,0.070095,0.330715,0.07003,0.999072687067551,3.0209476046370773,1.0,0.04684853207499999,721.7466473075792,0.7194047123681352,0.2117117117117117,0.9986144722615194,0.6054130047072935
"crime_VIOLENT, premis_RESIDENTIAL",has_weapon,0.088595,0.330715,0.08851,0.9990405779107174,3.0208505145237363,1.0,0.05921030457500001,697.5918185295005,0.7339957538210765,0.2675634824667473,0.9985664969493078,0.6333364146224739
has_weapon,"crime_VIOLENT, premis_RESIDENTIAL",0.330715,0.088595,0.08851,0.2676322513342304,3.0208505145237363,1.0,0.05921030457500001,1.2444635931339156,0.9995254637580376,0.2675634824667473,0.19644093606490026,0.6333364146224739
"crime_VIOLENT, time_Night",has_weapon,0.080575,0.330715,0.080495,0.9990071362085015,3.0207493951242053,1.0,0.053847638875,674.0954859375407,0.7275811716186182,0.24333801901479768,0.9985165306386689,0.6212020093603171
