sensitive_feature_0,accuracy,selection_rate
Black,0.9346393897364771,0.0
Hispanic,0.9057702102888744,2.4254772126415873e-05
Other,0.9185427049321189,0.0
Unknown,0.944871771991505,0.0
White,0.9469358766233766,0.0
